title_web,job_type,salary,location,summary,company,date,Country,title,website
Billing Clerk,Administrative Assistant,$17.50 an hour,"Bloomington, CA 92316",Requires successful completion of billing training program.Produces accurate customer invoices and documents for freight movement/delivery.,YELLOW,6/11/21,United States,Billing Clerk,Indeed
Medical Billing Clerk,Administrative Assistant,None,"Bingham Farms, MI","Retrieving billing information for assigned clients.Company offers a casual environment, competitive pay, and great benefits, including paid vacation, paid…",Strategic Revenue Solutions,6/11/21,United States,Billing Clerk,Indeed
Medical Billing Clerk,Administrative Assistant,$13 - $16 an hour,"Dalton, GA 30720",Knowledge of medical terminology as it applies to the billing process.Review and transmit claims using billing software and paper claim processing systems.,Active Foot Care,6/11/21,United States,Billing Clerk,Indeed
Billing Compliance Clerk,Administrative Assistant,None,"Tampa, FL 33619","Paid holidays & paid time off.Stock Awards (select management and front-line team member’s eligible!).Insurance: medical, vision, dental, accident, critical…",Courtesy Autogroup,6/11/21,United States,Billing Clerk,Indeed
Billing Compliance Clerk Plaza Mercedes,Administrative Assistant,None,"Creve Coeur, MO 63141","Paid holidays & paid time off.Stock Awards (select management and front-line team member’s eligible!).Insurance: medical, vision, dental, accident, critical…",Plaza Motors,6/11/21,United States,Billing Clerk,Indeed
Automotive Billing Clerk,Administrative Assistant,None,"Tucson, AZ 85711 (Naylor area)",Perform accounting functions associated with billing vehicle deals.Preferred candidates are detail-oriented and thorough.,Chapman Honda,6/11/21,United States,Billing Clerk,Indeed
Medical Billing Clerk,Administrative Assistant,$15 an hour,"Scott AFB, IL",Medical Billing…,"General Infomatics, Inc.",6/11/21,United States,Billing Clerk,Indeed
Vehicle Deal Prep/Billing Clerk,Administrative Assistant,None,"Tallahassee, FL",Deal Prep/Billing Clerk - Position available in accounting area of The Kraft Brother's Dealerships.Must be a mentally strong applicant who will work in…,Kraft Nissan / Infiniti of Tallahassee,6/11/21,United States,Billing Clerk,Indeed
Insurance Billing Clerk,Administrative Assistant,None,"Owosso, MI 48867","When part of job responsibility based on insurance billing guidelines, will daily process Inpatient/outpatient account combination or outpatient/outpatient…",Memorial Healthcare,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk - HSNNY,Administrative Assistant,None,"Potsdam, NY 13676","Of working with computers, a working knowledge of excel, medical billing and.General Business Office procedures are necessary.","Hamister Group, LLC",6/11/21,United States,Billing Clerk,Indeed
Accounting/Billing Clerk,Administrative Assistant,$17 - $21 an hour,"Fort Worth, TX 76126",Prior billing clerk experience (3) years preferred.Ability to multitask and stay organized.Analytical and have excellent math abilities.,Texas Maintenance Solutions,6/11/21,United States,Billing Clerk,Indeed
Medical Billing A/R Support Clerk,Administrative Assistant,None,"Saginaw, MI 48601 (Cathedral District area)",The Medical Billing Accounts Receivable (A/R) support clerk is an entry level position to support various functions within the Revenue Cycle Department.,CMU Health,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"Olathe, KS 66061","Must have previous billing experience (in the auto industry preferred).The ideal candidate has great attention to detail, strong proofreading skills, as well…",McCarthy Auto Group,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk - Transportation,Administrative Assistant,None,"Roanoke, VA",Ability to handle complex instructions and computer prompts for billing accuracy.Summary overview of edit reports for all loads generated to insure billing…,Eagle Transport Corporation,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk/Accounts Receivable,Administrative Assistant,$15 - $16 an hour,"Dexter, MO 63841",It also comes with big opportunities for advancement.At least an associate's degree in accounting is preferred.,Bud Shell Ford,6/11/21,United States,Billing Clerk,Indeed
Commercial Insurance Billing Clerk,Administrative Assistant,$14 - $17 an hour,"White Hall, AR",Claims billing: 1 year (Preferred).Commercial Insurance Clerk will be responsible for using Electronic Health Records system to electronically upload claims to…,Southeast Arkansas Behavioral Healthcare System,6/11/21,United States,Billing Clerk,Indeed
Automotive Billing Clerk,Administrative Assistant,None,"Tucson, AZ 85715",Perform accounting functions associated with billing vehicle deals.Preferred candidates are detail-oriented and thorough.Stay abreast of title regulations.,Mercedes Benz of Tucson,6/11/21,United States,Billing Clerk,Indeed
Accounts Receivable/Billing Clerk,Administrative Assistant,"$27,527 a year","Marlboro County, SC","Assists in training and providing support to clerical staff in regards to financial, billing, and insurance coverage issues.Serves as a Works Liaison.",State of South Carolina,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,$21.83 an hour,"Portland, OR 97210 (Northwest area)",We are looking to fill a key position in our night billing department.This position will require entering information from a bill of lading into the Peninsula…,"Peninsula Truck Lines, Inc.",6/11/21,United States,Billing Clerk,Indeed
UTILITY BILLING CLERK,Administrative Assistant,None,"Saint Peters, MO 63376","Full Job Description Utility Billing Clerk.doc Application Special Instructions As a minimum requirement of this position, selected candidates will be…",City of St. Peters,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,$15 - $21 an hour,"Kearny, NJ 07032","Seeking responsible well organized person to work with customer service/ data entry and accounting to invoice clients weekly, tracking invoices and AR.","National Metering Services, Inc",6/11/21,United States,Billing Clerk,Indeed
Billing/Accounting Clerk,Administrative Assistant,$18 - $22 an hour,"Minneapolis, MN 55401 (North Loop area)",Client billing and/or accounts payable experience (prefer experience in a law firm).Client Billing: Manage our monthly billing process in ProLaw which includes…,Siegel Brill,6/11/21,United States,Billing Clerk,Indeed
Medical Billing Clerk,Administrative Assistant,None,"Butler, PA 16001",Assumes staffing role of billing clerk.Responsible for taking patient phone calls with billing questions and complaints and resolving it in a timely and…,Butler Ambulatory Surgery Center,6/11/21,United States,Billing Clerk,Indeed
Lease Billing Clerk,Administrative Assistant,None,"Richfield, MN","Review all orders for lease rate, buyout checks, upgrades and approval for billing.Process third party lease equipment orders.",Metro Sales Inc.,6/11/21,United States,Billing Clerk,Indeed
Billing/Insurance Clerk I,Administrative Assistant,None,"Mobile, AL","Calls patients to remind them of scheduled appointments, reschedule missed appointments and verifies demographic information for billing purposes; prepares…",University of South Alabama,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk II,Administrative Assistant,None,"Las Vegas, NV 89128 (Desert Shores area)",Answer all in-coming Calls and assist patients in resolving billing discrepancies.Post all charges from Day Sheets and allocate all money not linked to CPT…,Steinberg Diagnostic Medical Imaging,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,$20 - $25 an hour,"Phoenix, AZ 85015 (Alhambra area)","Compensation - $20 - $25 per hour full time DOE (plus volume bonus)*.Medical, Dental, Vision, Life, Critical Care, and Short/Long term Disability insurance.",Bill Luke Chrysler Jeep & Dodge Inc,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"New Orleans, LA",Prior billing experience preferred; law firm experience a plus.This is a full-time role that will perform high-volume legal billing activities in our New…,Jones Walker LLP,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk US,Administrative Assistant,None,"Cleveland, OH 44115 (Downtown area)","The Billing Clerk will maintain our billing system to ensure invoices have been sent, collected, and processed.Timely review and resolution of unapplied cash.",Dwellworks,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"West Sacramento, CA 95691 (PSIP area)",Monitor and generate ad hoc billing reports.Verify information according to billing guidelines established for each customer.10-key data entry experience.,Kenan Advantage Group,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"Weirton, WV 26062",Applicant must have excellent Computer skills with knowledge of Microsoft Excel and Word must have the ability to grasp new technology quickly.,"CHANGE, Inc.",6/11/21,United States,Billing Clerk,Indeed
Revenue Cycle Billing Clerk,Administrative Assistant,None,"Greensboro, NC",Accurate performance of all clerical assignments will provide excellent customer service for various aspects of the billing process.,Radiology Partners,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"Wilkes-Barre, PA","Alerts of unusual developments of critical situations concerning billing, accounts receivable, or collection issues.Certification(s) and License(s).",Geisinger,6/11/21,United States,Billing Clerk,Indeed
Dental Billing Clerk,Administrative Assistant,None,"Newton, KS 67114","_The perfect candidate for our Dental Biller position would be someone who has had billing/coding experience, show great attention to detail and understand the…",Health Ministries Clinic,6/11/21,United States,Billing Clerk,Indeed
Medical Billing Assistant Clerk,Administrative Assistant,$20 - $25 an hour,"Amityville, NY 11701",BA and experience in Medical billing preferred.Medical billing: 1 year (Preferred).Assist Accounts Receivable as a clerk with projects as assigned.,"Hope For Youth, Inc.",6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"Jacksonville, FL",Response to billing phone calls and questions.The Billing Clerk is responsible for accurately billing patients and insurance carriers as well as maximizing…,North Florida Medical Services,6/11/21,United States,Billing Clerk,Indeed
Billing and Coding Clerk,Administrative Assistant,None,"West Palm Beach, FL 33407","Support members of the Billing and Coding department by performing large scale, repetitive duties that may include:Process patient credit card payments.","Florida Community Health Centers, Inc.",6/11/21,United States,Billing Clerk,Indeed
Medical Billing Rep I (Accounts Receivable Clerk),Administrative Assistant,$15.75 an hour,"Salt Lake City, UT 84108 (East Bench area)",Accept responsibilities for delegated billing area.Field questions from clients regarding billing/collection problems.Monday - Friday (40 hrs/wk).,ARUP Laboratories,6/11/21,United States,Billing Clerk,Indeed
Billing/Title Clerk,Administrative Assistant,None,"Westbury, NY","Additionally, vehicle title clerks may check for accuracy of vehicle sale and purchase prices.Great Health and Dental Insurance.",Westbury Toyota,6/11/21,United States,Billing Clerk,Indeed
AUTOMOTIVE RECEPTIONIST/FINANCE BILLING CLERK,Administrative Assistant,"$26,000 - $35,000 a year","San Antonio, TX 78229",Prior automotive finance billing required.Finance billing: 1 year (Required).5 day work week (M-F 11-7 SAT 10-5).High school or equivalent (Preferred).,RED MCCOMBS SUPERIOR HYUNDAI,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"Ronkonkoma, NY","Hilo Equipment & Services is a full-service company specializing in Forklifts, Overhead Doors, Loading Docks and Industrial Equipment.",Alta Equipment Company,6/11/21,United States,Billing Clerk,Indeed
Medical Billing Clerk,Administrative Assistant,$14 - $20 an hour,"Florham Park, NJ 07932",Morris County Medical Billing Co looking for billing clerk to assist in all aspects of billing and AR.MUST have good computer skills.,AMPM,6/11/21,United States,Billing Clerk,Indeed
Customer Service/Billing Clerk,Administrative Assistant,None,"Santa Maria, CA 93454",This is a multi-tasked position with excellent telephone and communication skills required.Computer experience mandatory for Microsoft Word and Excel.,North American Fire Hose,6/11/21,United States,Billing Clerk,Indeed
Billing/Collections Clerk,Administrative Assistant,$10 - $12 an hour,"El Paso, TX 79927","Characteristics associated with the job require someone who is detail oriented, adaptable, organized, communicative, and is willing to assist each team member…",Outwest Express LLC,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"North Liberty, IA 52317","Heartland Express in North Liberty, IA is seeking a Billing / Revenue Assurance Collector for a full time position at our corporate headquarters.",Heartland Express,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"Corona, CA","Create Credit Memos & Final billing documents.Create Debit Memos & Final billing documents.Review orders against Bill of Ladings, purchase orders and Sales…",Monster Energy,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk- North Central Ford,Administrative Assistant,None,"Richardson, TX 75080","Route paid deals to the tag and title clerk for processing as soon as money is received.Our benefits are extremely competitive with Medical, dental, vision,…",Sonic Automotive,6/11/21,United States,Billing Clerk,Indeed
Receptionist/Billing Clerk,Administrative Assistant,$16 - $20 an hour,"Milwaukee, WI 53233 (Avenues West area)","Additionally, position involves sorting and scanning mail, setting appointments and managing attorney schedules, organizing files and paperwork, and data entry…","Cross Law Firm, S.C.",6/11/21,United States,Billing Clerk,Indeed
"Data Entry Clerk - Billing - CDA (FT, Days)",Administrative Assistant,None,"Post Falls, ID 83854","Work with medical records clerks, biller, coder, registration clerks and collectors to maintain accurate records to facilitate valid reports regarding billing…",National Surgical Hospitals,6/11/21,United States,Billing Clerk,Indeed
Automotive Billing Clerk,Administrative Assistant,None,"DeLand, FL 32724",Solid knowledge of how dealership accounting works.Experience handling a high volume of paperwork.Receipt all monies received for new and used car deals.,Deland Auto Group,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"Corning, NY","Ability to maintain absolute confidentiality in regards to all records reviewed including consumer records, employee records and billing records.",Catholic Charities,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"Charlotte, MI 48813",Accounting and/or medical billing experience.Writes procedures to guide staff on medical billing activities.Serves as liaison with insurance companies related…,Barry-Eaton District Health Department,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk I,Administrative Assistant,$18 an hour,"Hunt Valley, MD 21030","Entry level position assisting the Insurance Brokerage department with account receivable/payables, monitors email databases and uses current software system to…",Amynta Group,6/11/21,United States,Billing Clerk,Indeed
Automotive Billing Clerk - Holler Classic Corporate Office,Administrative Assistant,None,"Winter Park, FL 32789",Holler Classic Automotive has an Immediate Need for an Automotive Billing Clerk.This position requires previous Automotive Billing or F&I experience at a…,Holler and Classic Family Collection of Dealership...,6/11/21,United States,Billing Clerk,Indeed
Automotive Accounting Clerk / Billing Clerk,Administrative Assistant,None,"Plano, TX 75024",We are willing to train the right person..∙ Paid vacation and sick pay.∙ 40 hour work week.∙ UHC health insurance available.∙ CDK experience a plus*.,Toyota of Plano,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk-Government,Administrative Assistant,None,"Cape Girardeau, MO 63701",Two years’ experience in a medical billing is preferred but not required.Responsible for billing all primary and secondary claims to the appropriate government…,SoutheastHEALTH,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"Berwyn, IL 60402",Identify and resolve patient billing complaints.Proven experience in optical billing is a huge plus.This position provides timely and high-quality billing…,"Rosin Optical Co., Inc.",6/11/21,United States,Billing Clerk,Indeed
Scheduler/Billing clerk,Administrative Assistant,None,"Oxford, FL 34484","Excel helpful but not a requirement.Health insurance, dental,vision,short term disability,life insurance, paid holidays and paid vacation.","T & D Pool & Spa Service, Inc",6/11/21,United States,Billing Clerk,Indeed
Riverchase Kia - Automotive Billing & Title Clerk,Administrative Assistant,None,"Pelham, AL 35124","This person will be provide accounting and clerical support by accurately reviewing, posting and maintaining new & used deals.401(k) Retirement Savings Plan.",BIRMINGHAM AUTO ACQUISITIONS INC,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"St. Louis, MO 63110 (Botanical Heights area)",Prior billing experience or certificate of proficiency in medical billing and coding is required.Verify accurate and efficient billing process.,Bilingual In Home,6/11/21,United States,Billing Clerk,Indeed
Automotive Billing/Capping Clerk,Administrative Assistant,None,"Chesapeake, VA 23320 (Indian River area)","Looking for an experienced automotive retail Billing/Capping clerk, ADP is a plus.Individual is responsible for various automotive accounting functions with a…",Southern Auto Group,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk/Financial Assistant,Administrative Assistant,None,"San Diego, CA 92037 (La Jolla area)","HumanGood offers competitive pay and phenomenal benefits.Eligible positions start with 20 paid days off, plus seven holidays, a company-matching 401(k) and…",White Sands La Jolla - a HumanGood community,6/11/21,United States,Billing Clerk,Indeed
Medical Billing and Posting Clerk,Administrative Assistant,$14 - $15 an hour,"New Braunfels, TX 78130",This candidate is responsible for posting payments and following up on A/R payments.This position is NOT a remote position.,New Braunfels Cardiology,6/11/21,United States,Billing Clerk,Indeed
Billing Coordinator/Large Loss Clerk,Administrative Assistant,"$40,000 - $45,000 a year","Green Bay, WI 54304",Creates billing summaries and submits them to the accounting department.Utilizes our commercial billing software to create time and material reports for large…,ServiceMaster Recovery by Restoration Holdings,6/11/21,United States,Billing Clerk,Indeed
HTPN General Billing Clerk - Full Time - Orange Park,Administrative Assistant,None,"Orange Park, FL 32073","Experience: Prior experience in customer service, knowledge of word/excel programming, medical records/referral coordination management and billing/collections…",H2 Health,6/11/21,United States,Billing Clerk,Indeed
Patient Coordinator / Billing Clerk,Administrative Assistant,$14 - $16 an hour,"Meridian, ID 83642",Edit patient accounts to reflect correct insurances for billing purposes.Must have flexibility to support additional billing responsibilities as needed.,Idaho Gastroenterology Associates,6/11/21,United States,Billing Clerk,Indeed
,Administrative Assistant,None,"Township of Burlington, NJ 08016","Full Time, Monday – Frida, 4:00 PM - 12:30 AM, 25-30 hrs./week.R+L Carriers has immediate need for a Full Time Billing Pre Clerk in our Service Center.",R+L Carriers,6/11/21,United States,Billing Clerk,Indeed
Medical Billing / Aging Clerk,Administrative Assistant,$11 - $16 an hour,"Roswell, NM 88201",Applicants for Billing Clerk positions must have a High-School or General Equivalency Diploma or higher and 1-3 years working in a medical office setting as a…,Kymera Independent Physicians,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,$18 - $20 an hour,"Bayside, NY 11361",Reviewing jobs for completion of projects and closing out of all billings associated with project.Fire Alarm Company looking for a Billing Clerk to assist in…,"PyroSignal & Suppression, Inc",6/11/21,United States,Billing Clerk,Indeed
Billing and Accounting Clerk,Administrative Assistant,None,"Irvine, CA",Billing clerks are expected to identify and resolve billing inaccuracies and be the first point of escalation for billing queries.,"Macdonald & Cody, LLP",6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"Plano, TX 75093",Add in New/Used Car Inventory.Package deals to send to lenders daily.Bill car deals into accounting system.Experience in Automotive Accounting a plus.,Don Herring Plano,6/11/21,United States,Billing Clerk,Indeed
Automotive Accounting - Billing Clerk,Administrative Assistant,None,"Orlando, FL 32837",Prior experience with deal billing and inventory.Various billing duties including wholesale and dealer trades.Process paperwork from the F&I Department.,Universal Nissan Hyundai,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"Green Bay, WI 54303",Responsible for company-wide billings.Provides overflow billing and dispatch/customer service support.Enjoys researching and reviewing customer invoices to…,"Brabazon Pump, Compressor and Vacuum",6/11/21,United States,Billing Clerk,Indeed
Medical Billing Clerk,Administrative Assistant,$10 - $15 an hour,"Walterboro, SC 29488","Responsible for coding and entering charges in computer, billing, denials, follow up with payers.High school or equivalent (Preferred).",TARHEEL MEDICAL BILLING/COLLETON SOFTWARE,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"West Allis, WI",Ensure proper billing of all vehicles sold.At least 1 year experience of automotive billing experience.Reviewing for accuracy and packing automotive retail…,International Autos Milwaukee,6/11/21,United States,Billing Clerk,Indeed
Medical Billing Clerk,Administrative Assistant,None,"Brooklyn, NY 11210",Busy Brooklyn medical office is seeking a motivated candidate for a full-time Billing Clerk position.We offer competitive salary and a comprehensive benefits…,"Be Well Primary Health Care Center, LLC.",6/11/21,United States,Billing Clerk,Indeed
Medical Billing Clerk,Administrative Assistant,Up to $16 an hour,"Los Angeles, CA 90042 (Highland Park area)","Two (2) years billing experience in a medical setting.Under direct supervision of the Billing Manager, the Billing Clerk is responsible for maintaining the…",Arroyo Vista Family Health Center,6/11/21,United States,Billing Clerk,Indeed
Accounts Receivable/Billing Clerk,Administrative Assistant,None,"Stoystown, PA 15563",Experience in billing or general accounting in the construction industry is a plus.We have an immediate opening for an Accounts Receivable/Billing Clerk.,Riggs Industries,6/11/21,United States,Billing Clerk,Indeed
RATES/BILLING CLERK 2ND SHIFT,Administrative Assistant,None,"Hickory, NC",Has high computer literacy to use PC and billing systems.Enter all mandatory information into the billing system in order to generate the invoice.,SunBelt Xpress,6/11/21,United States,Billing Clerk,Indeed
Billing and Collections Clerk,Administrative Assistant,None,"San Diego, CA 92121 (University City area)",Minimum of 2 years in billing and collections.Review all orders to ensure billing is processed accurately and process rebilling.,Advanced Test Equipment Rentals,6/11/21,United States,Billing Clerk,Indeed
Billing Clerk,Administrative Assistant,None,"Georgetown, KY 40324",Candidate needs to be organized and able to multitask.Billing/collection experienced preferred but not required.High school or equivalent (Preferred).,GEORGETOWN PEDIATRICS,6/11/21,United States,Billing Clerk,Indeed
Automotive Billing & Accounting Clerk,Administrative Assistant,None,"Newport News, VA","Day-to-day work will include billing deals, customer payoffs, journal entries, transactional accounting, account reconciliations and month-end close reporting.",Lexus of Newport News,6/11/21,United States,Billing Clerk,Indeed
A/R Billing Clerk,Administrative Assistant,$14 - $18 an hour,"Miami, FL 33143",Responsible for overseeing the billing process for customers or patients.Creating invoices and billing materials to be sent directly to a customer or patient.,OpusCare,6/11/21,United States,Billing Clerk,Indeed
,Administrative Assistant,From $24 an hour,"Pflugerville, TX",Fully comprehend each individual contract and their specific billing requirements.JOB SUMMARY: The Billing Coordinator will be responsible for assisting…,CaraDay Healthcare,6/11/21,United States,Billing Coordinator,Indeed
Medical Billing Coordinator,Administrative Assistant,$15 - $17 an hour,Remote,"Update patient demographics, insurances and billing.Proficient in understanding and ability to enter data into medical billing software.",Healthcare Administrative Partners,6/11/21,United States,Billing Coordinator,Indeed
"Billing & Reconciliation Coordinator - Metairie, LA",Administrative Assistant,None,"Metairie, LA 70002",Answers and screens telephone calls relating to enrollment and billing issues.Prepares and distributes monthly billing reports and other information generated…,UnitedHealth Group,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator,Administrative Assistant,None,"Fort Wayne, IN","Preparation of billings to the agencies with which GT Independence has a contract.Will consider candidates with relevant work experience, especially as it…",GT Independence,6/11/21,United States,Billing Coordinator,Indeed
Sales & Billing Coordinator,Administrative Assistant,"From $42,500 a year",Remote,"Accept and submit vendor invoices into accounting system to be paid by our billing team.As a sales coordinator, it is important you gain customers trust and…",Universal Hotel Supply,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator,Administrative Assistant,None,"Boise, ID 83716 (Harris Ranch area)","The Billing Clerk processes retirement home and assisted living billing, maintains resident trust accounts, assists residents and/or responsible parties with…",The Terraces of Boise - a HumanGood community,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator-,Administrative Assistant,None,"Chattanooga, TN 37421","Work order and billing process experience preferred.Responsible for opening, closing and data entry for billing and filing of work orders.",West Star Aviation,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator (Paid Media),Administrative Assistant,None,"San Diego, CA 92108 (University Heights area)",Actualize media plan flowcharts and maintain billing trackers.Responsible for insertion order entry and media budget revisions in billing system.,Civilian,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator,Administrative Assistant,"$36,000 - $42,000 a year","Chattanooga, TN 37408","This position is responsible for troubleshooting all billing issues with clients, carriers, factor companies and other departments within KCH Transportation.",KCH Transportation,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator - Remote US,Administrative Assistant,None,"Columbus, OH",Exercise discretion while handling sensitive information and determining appropriate course of action while adhering to billing guidelines and policies.,Seamless.AI,6/11/21,United States,Billing Coordinator,Indeed
BILLING COORDINATOR,Administrative Assistant,None,"Pikeville, KY 41501",Creates and processes documentation related to billing.Ensures accuracy and completeness of billing information.High School Diploma or equivalency required.,PIKEVILLE MEDICAL CENTER INC.,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator,Administrative Assistant,"$68,466 - $71,630 a year","San Francisco, CA 94115 (Pacific Heights area)","Primary Purpose*: Under the general direction and supervision of the General Manager and Billing Supervisor of Pacific Hematology Oncology Associates, this…",Pacific Hematology Oncology Associates,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator,Administrative Assistant,$15 - $18 an hour,"Las Vegas, NV 89120 (Paradise area)","The ideal candidate will have a thorough knowledge of merchant processing, chargebacks, billing support, processes, and other customer billing areas.",Reflex Media Inc,6/11/21,United States,Billing Coordinator,Indeed
NMSC - Billing Coordinator,Administrative Assistant,$19 - $23 an hour,"Englewood, CO 80112",Monitor and assure that billing files are maintained according to agency and governmental standards.Associates degree in a business-related field and/or…,Nonprofit Management Services Of Colorado,6/11/21,United States,Billing Coordinator,Indeed
Medical Billing and Collections Coordinator,Administrative Assistant,None,"San Bernardino, CA 92408",The Billing and Collections Coordinator is responsible for supporting Billing and Collections staff.Assist leadership in assuring confidentiality is maintained…,Air Methods Corporation,6/11/21,United States,Billing Coordinator,Indeed
Medical Billing Coordinator,Administrative Assistant,None,"Media, PA 19063","Update patient demographics, insurances and billing.Proficient in understanding and ability to enter data into medical billing software.",Healthcare Administrative Partners LLC,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator,Administrative Assistant,$14 - $20 an hour,"Lake Charles, LA 70605",QUALIFICATION REQUIREMENTS: * High school diploma or equivalent and at least one year of healthcare billing experience.High school or equivalent (Required).,Imperial Health,6/11/21,United States,Billing Coordinator,Indeed
,Administrative Assistant,None,"Atlanta, GA 30339",1+ years of billing experience.Review new maintenance contracts ensuring billing information from branch corresponds with customer contract and proper…,Staffmark,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator,Administrative Assistant,None,"Anaheim, CA 92807 (Anaheim Hills area)",Review monthly billing with the Manager to ascertain that appropriate general ledger accounts are correctly applied on all billings.,IDEMIA,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator,Administrative Assistant,$15 - $18 an hour,"Kennewick, WA 99336",Assist patients with billing questions and concerns.The position requires excellent verbal and written skills in dealing with both patients and insurances.,Benton Franklin Orthopedic Associates,6/11/21,United States,Billing Coordinator,Indeed
Utility Billing Coordinator,Administrative Assistant,$14 - $16 an hour,"Safety Harbor, FL 34695 (Chevy Chase South area)","As a Team, the UBCs collaborate to complete each client's billings timely and accurately.Each UBC is part of a Team responsible for a group of clients in…",Utility Billing service near Safety Harbor,6/11/21,United States,Billing Coordinator,Indeed
Complex Group Housing- Billing Coordinator The Westin/W Bell...,Administrative Assistant,None,"Bellevue, WA 98004 (Downtown area)","Set-up proper billing accounts (i.e. share-with, room/tax/incidentals, tax exempt, direct/special billing, and group bookings) according to accounting policies.","Marriott International, Inc",6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator,Administrative Assistant,None,"Las Vegas, NV","The ideal candidate will have a thorough knowledge of merchant processing, chargebacks, billing support, processes, and other customer billing areas.",Reflex Media Inc.,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator,Administrative Assistant,"$40,000 - $50,000 a year","Denver, CO 80224 (Southeastern Denver area)",Our team of high-achieving field representatives and installers complete projects for customers who have experienced an insurance-related loss.,Premier Roofing Company,6/11/21,United States,Billing Coordinator,Indeed
Billing & Accounts Receivable Coordinator,Administrative Assistant,None,"Rancho Cordova, CA 95670","Home Instead is hiring a Billing & Accounts Receivable Coordinator to perform a variety of clerical and administrative duties, including Billing, Accounts…",Home Instead,6/11/21,United States,Billing Coordinator,Indeed
Dental Billing and Insurance Coordinator,Administrative Assistant,$15 - $20 an hour,"Lynchburg, VA 24502",Dental insurance/billing: 1 year (Required).At least 1 year experience in dental insurance billing/payment processing.Posting patient and insurance payments.,FOREST DENTAL CENTER,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator,Administrative Assistant,None,"Lewis Center, OH 43035",Ensure complete and accurate billing to our customers.Ensure customer specific billing requirements are met including online portals and EDI.,Triple T Transport Inc,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator,Administrative Assistant,None,"Suwanee, GA 30024",Communicate specific issues regarding billing disputes to appropriate managers.Respond to customer inquiries as necessary regarding billing discrepancies and…,Atlanta Flooring Design Centers Inc,6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator (On the job training),Administrative Assistant,None,"Washington, IN","Employee Discount, 401k, competitive wages, Christmas club, employee referral bonus, and closed every weekend and national Holidays.","Williams Bros Health Care Pharmacy, Inc",6/11/21,United States,Billing Coordinator,Indeed
Billing Coordinator,Administrative Assistant,"$40,000 - $42,000 a year","Weston, FL 33331",Assembles list that contains all jobs ready for billing.Job Title: Billing Coordinator Employment Type*: Full Time.Compares to WIP report for accuracy.,Postal Center International,6/11/21,United States,Billing Coordinator,Indeed
